time,hexPayload
2021-06-14T05:32:10.487Z,78000013b4
2021-06-14T05:33:10.485Z,76000013b5
2021-06-14T05:34:10.483Z,87000013b6
2021-06-14T05:35:10.474Z,74000013b7
2021-06-14T05:36:10.476Z,9c000013b8
2021-06-14T05:37:10.476Z,72000013b9
2021-06-14T05:38:10.469Z,9f000013ba
2021-06-14T05:39:10.466Z,8b000013bb
2021-06-14T05:40:10.470Z,6e000013bc
2021-06-14T05:45:13.508Z,a7000013bd
2021-06-14T05:46:09.737Z,98000013be
2021-06-14T05:47:10.422Z,9e000013bf
2021-06-14T05:48:10.423Z,a0000013c0
2021-06-14T05:49:10.420Z,7d000013c1
2021-06-14T05:50:10.419Z,7e000013c2
2021-06-14T05:51:10.412Z,88000013c3
2021-06-14T05:52:10.410Z,a4000013c4
2021-06-14T05:53:10.407Z,7d000013c5
2021-06-14T05:54:10.409Z,6e000013c6
2021-06-14T05:55:10.407Z,9c000013c7
2021-06-14T05:56:10.405Z,75000013c8
2021-06-14T05:57:10.400Z,83000013c9
2021-06-14T05:58:10.405Z,a7000013ca
2021-06-14T05:59:10.402Z,8a000013cb
2021-06-14T06:00:10.399Z,78000013cc
2021-06-14T06:01:10.392Z,81000013cd
2021-06-14T06:02:10.390Z,90000013ce
2021-06-14T06:03:10.388Z,8f000013cf
2021-06-14T06:04:10.385Z,6c000013d0
2021-06-14T06:05:10.384Z,7e000013d1
2021-06-14T06:06:10.380Z,6e000013d2
2021-06-14T06:07:10.377Z,70000013d3
2021-06-14T06:08:10.384Z,7e000013d4
2021-06-14T06:09:10.382Z,9e000013d5
2021-06-14T06:10:10.374Z,76000013d6
2021-06-14T06:11:10.373Z,7a000013d7
2021-06-14T06:12:10.376Z,7b000013d8
2021-06-14T06:13:10.371Z,79000013d9
2021-06-14T06:14:10.368Z,76000013da
2021-06-14T06:15:10.365Z,98000013db
2021-06-14T06:16:10.366Z,7e000013dc
2021-06-14T06:17:10.358Z,8c000013dd
2021-06-14T06:18:10.356Z,73000013de
2021-06-14T06:19:10.355Z,96000013df
2021-06-14T06:20:10.354Z,9d000013e0
2021-06-14T06:21:10.356Z,a2000013e1
2021-06-14T06:22:10.354Z,a1000013e2
2021-06-14T06:23:10.349Z,6f000013e3
2021-06-14T06:24:10.349Z,98000013e4
2021-06-14T06:25:10.345Z,88000013e5
2021-06-14T06:26:10.343Z,a0000013e6
2021-06-14T06:27:10.338Z,74000013e7
2021-06-14T06:28:10.347Z,8d000013e8
2021-06-14T06:29:10.340Z,78000013e9
2021-06-14T06:30:10.337Z,a4000013ea
2021-06-14T06:31:10.332Z,90000013eb
2021-06-14T06:32:10.327Z,74000013ec
2021-06-14T06:33:10.326Z,88000013ed
2021-06-14T06:34:10.323Z,a7000013ee
2021-06-14T06:35:10.326Z,70000013ef
2021-06-14T06:36:10.319Z,a2000013f0
2021-06-14T06:37:10.318Z,86000013f1
2021-06-14T06:38:10.319Z,85000013f2
2021-06-14T06:39:10.319Z,7e000013f3
2021-06-14T06:40:10.315Z,72000013f4
2021-06-14T06:45:13.357Z,74000013f5
2021-06-14T06:46:09.585Z,89000013f6
2021-06-14T06:47:10.273Z,7e000013f7
2021-06-14T06:48:10.268Z,8e000013f8
2021-06-14T06:49:10.268Z,81000013f9
2021-06-14T06:50:10.268Z,7b000013fa
2021-06-14T06:51:10.267Z,9d000013fb
2021-06-14T06:52:10.266Z,86000013fc
2021-06-14T06:53:10.264Z,9b000013fd
2021-06-14T06:54:10.263Z,92000013fe
2021-06-14T06:55:10.253Z,a0000013ff
2021-06-14T06:56:10.259Z,8900001400
2021-06-14T06:57:10.255Z,7400001401
2021-06-14T06:58:10.251Z,8f00001402
2021-06-14T06:59:10.252Z,9c00001403
2021-06-14T07:00:10.247Z,7800001404
2021-06-14T07:01:10.240Z,a300001405
2021-06-14T07:02:10.238Z,a600001406
2021-06-14T07:03:10.245Z,8700001407
2021-06-14T07:04:10.236Z,6d00001408
2021-06-14T07:05:10.237Z,7e00001409
2021-06-14T07:06:10.228Z,800000140a
2021-06-14T07:07:10.227Z,8c0000140b
2021-06-14T07:08:10.225Z,9a0000140c
2021-06-14T07:09:10.222Z,780000140d
2021-06-14T07:11:10.225Z,a00000140e
2021-06-14T07:12:10.220Z,9c0000140f
2021-06-14T07:13:10.221Z,9c00001410
2021-06-14T07:14:10.220Z,9700001411
2021-06-14T07:15:10.215Z,a400001412
2021-06-14T07:16:10.211Z,7000001413
2021-06-14T07:17:10.210Z,6e00001414
2021-06-14T07:18:10.209Z,a400001415
2021-06-14T07:19:10.202Z,9800001416
2021-06-14T07:20:10.198Z,9600001417
2021-06-14T07:21:10.203Z,9900001418
2021-06-14T07:22:10.203Z,9100001419
2021-06-14T07:23:10.198Z,720000141a
2021-06-14T07:24:10.196Z,7c0000141b
2021-06-14T07:25:10.200Z,9c0000141c
2021-06-14T07:26:10.194Z,780000141d
2021-06-14T07:27:10.195Z,840000141e
2021-06-14T07:28:10.196Z,7d0000141f
2021-06-14T07:29:10.191Z,9800001420
2021-06-14T07:30:10.191Z,8500001421
2021-06-14T07:31:10.189Z,8700001422
2021-06-14T07:32:10.181Z,9b00001423
2021-06-14T07:33:10.186Z,7800001424
2021-06-14T07:34:10.182Z,7800001425
2021-06-14T07:35:10.177Z,7e00001426
2021-06-14T07:36:10.181Z,a700001427
2021-06-14T07:37:10.176Z,6e00001428
2021-06-14T07:38:10.171Z,6c00001429
2021-06-14T07:39:10.177Z,8b0000142a
2021-06-14T07:40:10.168Z,a70000142b
2021-06-14T07:45:13.223Z,7c0000142c
2021-06-14T07:46:09.442Z,810000142d
2021-06-14T07:47:10.128Z,6f0000142e
2021-06-14T07:48:10.121Z,a40000142f
2021-06-14T07:49:10.126Z,9800001430
2021-06-14T07:50:10.123Z,a100001431
2021-06-14T07:51:10.118Z,9200001432
2021-06-14T07:52:10.116Z,9600001433
2021-06-14T07:53:10.111Z,8100001434
2021-06-14T07:54:10.117Z,6e00001435
2021-06-14T07:55:10.116Z,a600001436
2021-06-14T07:56:10.113Z,a500001437
2021-06-14T07:57:10.113Z,7600001438
2021-06-14T07:58:10.108Z,8e00001439
2021-06-14T07:59:10.101Z,9a0000143a
2021-06-14T08:00:10.108Z,760000143b
2021-06-14T08:01:10.105Z,930000143c
2021-06-14T08:02:10.105Z,840000143d
2021-06-14T08:03:10.103Z,930000143e
2021-06-14T08:04:10.093Z,820000143f
2021-06-14T08:05:10.098Z,7100001440
2021-06-14T08:06:10.091Z,a400001441
2021-06-14T08:07:10.093Z,6d00001442
2021-06-14T08:08:10.094Z,9a00001443
2021-06-14T08:09:10.088Z,a100001444
2021-06-14T08:10:10.084Z,7300001445
2021-06-14T08:11:10.083Z,9d00001446
2021-06-14T08:12:10.086Z,7a00001447
2021-06-14T08:13:10.082Z,9600001448
2021-06-14T08:14:10.080Z,9500001449
2021-06-14T08:15:10.074Z,9e0000144a
2021-06-14T08:16:10.081Z,9d0000144b
2021-06-14T08:17:10.076Z,7b0000144c
2021-06-14T08:18:10.075Z,770000144d
2021-06-14T08:19:10.070Z,7e0000144e
2021-06-14T08:20:10.066Z,820000144f
2021-06-14T08:21:10.065Z,8700001450
2021-06-14T08:22:10.063Z,8800001451
2021-06-14T08:23:10.070Z,9100001452
2021-06-14T08:24:10.063Z,a100001453
2021-06-14T08:25:10.057Z,8b00001454
2021-06-14T08:26:10.058Z,7000001455
2021-06-14T08:27:10.056Z,6c00001456
2021-06-14T08:28:10.060Z,9800001457
2021-06-14T08:29:10.052Z,7300001458
2021-06-14T08:30:10.052Z,9e00001459
2021-06-14T08:31:10.055Z,7f0000145a
2021-06-14T08:32:10.049Z,6c0000145b
2021-06-14T08:33:10.050Z,a60000145c
2021-06-14T08:34:10.047Z,9f0000145d
2021-06-14T08:35:10.043Z,8e0000145e
2021-06-14T08:36:10.044Z,8e0000145f
2021-06-14T08:37:10.040Z,8000001460
2021-06-14T08:38:10.043Z,8600001461
2021-06-14T08:39:10.040Z,6f00001462
2021-06-14T08:40:10.040Z,8900001463
2021-06-14T08:45:13.087Z,8e00001464
2021-06-14T08:46:09.285Z,7e00001465
2021-06-14T08:47:09.978Z,7b00001466
2021-06-14T08:48:09.977Z,7c00001467
2021-06-14T08:49:09.972Z,7500001468
2021-06-14T08:50:09.970Z,9200001469
2021-06-14T08:51:09.969Z,730000146a
2021-06-14T08:52:09.970Z,740000146b
2021-06-14T08:53:09.970Z,a40000146c
2021-06-14T08:54:09.960Z,a20000146d
2021-06-14T08:55:09.959Z,760000146e
2021-06-14T08:56:09.963Z,700000146f
2021-06-14T08:57:09.959Z,8800001470
2021-06-14T08:58:09.956Z,9300001471
2021-06-14T08:59:09.952Z,7c00001472
2021-06-14T09:00:09.955Z,8600001473
2021-06-14T09:01:09.949Z,a600001474
2021-06-14T09:02:09.952Z,8700001475
2021-06-14T09:03:09.953Z,8e00001476
2021-06-14T09:04:09.950Z,9500001477
2021-06-14T09:05:09.950Z,7300001478
2021-06-14T09:06:09.946Z,8b00001479
2021-06-14T09:07:09.938Z,970000147a
2021-06-14T09:08:09.946Z,730000147b
2021-06-14T09:09:09.941Z,980000147c
2021-06-14T09:10:09.938Z,890000147d
2021-06-14T09:11:09.939Z,6e0000147e
2021-06-14T09:12:09.931Z,9a0000147f
2021-06-14T09:13:09.935Z,8a00001480
2021-06-14T09:15:09.927Z,9f00001481
2021-06-14T09:16:09.924Z,8d00001482
2021-06-14T09:17:09.930Z,9d00001483
2021-06-14T09:18:09.923Z,7e00001484
2021-06-14T09:19:09.923Z,9200001485
2021-06-14T09:20:09.916Z,8100001486
2021-06-14T09:21:09.922Z,9000001487
2021-06-14T09:22:09.919Z,7200001488
2021-06-14T09:23:09.917Z,a000001489
2021-06-14T09:24:09.911Z,6c0000148a
2021-06-14T09:25:09.916Z,a70000148b
2021-06-14T09:26:09.914Z,a50000148c
2021-06-14T09:27:09.910Z,820000148d
2021-06-14T09:28:09.910Z,710000148e
2021-06-14T09:29:09.908Z,970000148f
2021-06-14T09:30:09.906Z,9600001490
2021-06-14T09:31:09.895Z,9200001491
2021-06-14T09:32:09.893Z,7e00001492
2021-06-14T09:33:09.895Z,8800001493
2021-06-14T09:34:09.898Z,7900001494
2021-06-14T09:35:09.894Z,a600001495
2021-06-14T09:36:09.894Z,8300001496
2021-06-14T09:37:09.891Z,9500001497
2021-06-14T09:38:09.890Z,8e00001498
2021-06-14T09:39:09.879Z,9500001499
2021-06-14T09:40:09.882Z,770000149a
2021-06-14T09:45:12.922Z,810000149b
2021-06-14T09:46:09.139Z,960000149c
2021-06-14T09:47:09.824Z,8f0000149d
2021-06-14T09:48:09.821Z,7d0000149e
2021-06-14T09:49:09.828Z,7c0000149f
2021-06-14T09:50:09.823Z,93000014a0
2021-06-14T09:51:09.824Z,6e000014a1
2021-06-14T09:52:09.814Z,a6000014a2
2021-06-14T09:53:09.816Z,94000014a3
2021-06-14T09:54:09.818Z,7e000014a4
2021-06-14T09:55:09.813Z,92000014a5
2021-06-14T09:56:09.810Z,9f000014a6
2021-06-14T09:57:09.812Z,78000014a7
2021-06-14T09:58:09.809Z,72000014a8
2021-06-14T09:59:09.805Z,8b000014a9
2021-06-14T10:00:09.805Z,80000014aa
2021-06-14T10:01:09.802Z,74000014ab
2021-06-14T10:02:09.808Z,7f000014ac
2021-06-14T10:03:09.807Z,79000014ad
2021-06-14T10:04:09.821Z,8a000014ae
2021-06-14T10:05:09.796Z,7c000014af
2021-06-14T10:06:09.798Z,92000014b0
2021-06-14T10:07:09.796Z,9e000014b1
2021-06-14T10:08:09.792Z,8b000014b2
2021-06-14T10:09:09.794Z,9f000014b3
2021-06-14T10:10:09.791Z,78000014b4
2021-06-14T10:11:09.786Z,9f000014b5
2021-06-14T10:12:09.790Z,8d000014b6
2021-06-14T10:13:09.789Z,78000014b7
2021-06-14T10:14:09.788Z,a5000014b8
2021-06-14T10:15:09.786Z,8f000014b9
2021-06-14T10:16:09.778Z,74000014ba
2021-06-14T10:17:09.783Z,8d000014bb
2021-06-14T10:18:09.778Z,a7000014bc
2021-06-14T10:19:09.773Z,81000014bd
2021-06-14T10:20:09.773Z,6c000014be
2021-06-14T10:21:09.778Z,7e000014bf
2021-06-14T10:22:09.767Z,80000014c0
2021-06-14T10:23:09.772Z,7a000014c1
2021-06-14T10:24:09.772Z,a4000014c2
2021-06-14T10:25:09.764Z,a7000014c3
2021-06-14T10:26:09.767Z,a6000014c4
2021-06-14T10:27:09.764Z,71000014c5
2021-06-14T10:28:09.772Z,a3000014c6
2021-06-14T10:29:09.756Z,90000014c7
2021-06-14T10:30:09.760Z,79000014c8
2021-06-14T10:31:09.760Z,87000014c9
2021-06-14T10:32:09.757Z,77000014ca
2021-06-14T10:33:09.756Z,74000014cb
2021-06-14T10:34:09.751Z,92000014cc
2021-06-14T10:35:09.754Z,77000014cd
2021-06-14T10:36:09.745Z,75000014ce
2021-06-14T10:37:09.743Z,a3000014cf
2021-06-14T10:38:09.746Z,71000014d0
2021-06-14T10:39:09.739Z,87000014d1
2021-06-14T10:40:09.744Z,83000014d2
2021-06-14T10:45:12.793Z,6d000014d3
2021-06-14T10:46:08.998Z,71000014d4
2021-06-14T10:47:09.680Z,91000014d5
2021-06-14T10:48:09.680Z,97000014d6
2021-06-14T10:49:09.681Z,8e000014d7
2021-06-14T10:50:09.673Z,a7000014d8
2021-06-14T10:51:09.673Z,88000014d9
2021-06-14T10:52:09.666Z,a3000014da
2021-06-14T10:53:09.667Z,72000014db
2021-06-14T10:54:09.665Z,89000014dc
2021-06-14T10:56:09.665Z,71000014dd
2021-06-14T10:57:09.661Z,8d000014de
2021-06-14T10:58:09.657Z,86000014df
2021-06-14T10:59:09.663Z,7e000014e0
2021-06-14T11:00:09.655Z,a6000014e1
2021-06-14T11:01:09.652Z,a3000014e2
2021-06-14T11:02:09.654Z,73000014e3
2021-06-14T11:03:09.653Z,9f000014e4
2021-06-14T11:04:09.653Z,7f000014e5
2021-06-14T11:05:09.646Z,8f000014e6
2021-06-14T11:06:09.652Z,7a000014e7
2021-06-14T11:07:09.643Z,7e000014e8
2021-06-14T11:08:09.649Z,a3000014e9
2021-06-14T11:09:09.640Z,9c000014ea
2021-06-14T11:10:09.641Z,74000014eb
2021-06-14T11:11:09.635Z,6e000014ec
2021-06-14T11:12:09.639Z,a7000014ed
2021-06-14T11:13:09.635Z,8e000014ee
2021-06-14T11:14:09.638Z,6f000014ef
2021-06-14T11:15:09.632Z,7a000014f0
2021-06-14T11:16:09.628Z,9a000014f1
2021-06-14T11:17:09.631Z,8a000014f2
2021-06-14T11:18:09.628Z,89000014f3
2021-06-14T11:19:09.631Z,81000014f4
2021-06-14T11:20:09.623Z,7e000014f5
2021-06-14T11:21:09.628Z,71000014f6
2021-06-14T11:22:09.624Z,a1000014f7
2021-06-14T11:23:09.618Z,72000014f8
2021-06-14T11:24:09.622Z,86000014f9
2021-06-14T11:25:09.622Z,9d000014fa
2021-06-14T11:27:09.614Z,90000014fb
2021-06-14T11:29:09.615Z,91000014fc
2021-06-14T11:30:09.613Z,a0000014fd
2021-06-14T11:31:09.605Z,84000014fe
2021-06-14T11:32:09.606Z,92000014ff
2021-06-14T11:33:09.603Z,9300001500
2021-06-14T11:34:09.606Z,8a00001501
2021-06-14T11:35:09.605Z,9e00001502
2021-06-14T11:36:09.594Z,7600001503
2021-06-14T11:37:09.604Z,7e00001504
2021-06-14T11:38:09.599Z,a500001505
2021-06-14T11:39:09.597Z,6f00001506
2021-06-14T11:40:09.589Z,9600001507
2021-06-14T11:45:12.642Z,9400001508
2021-06-14T11:46:08.843Z,9e00001509
2021-06-14T11:47:09.532Z,9c0000150a
2021-06-14T11:48:09.529Z,6e0000150b
2021-06-14T11:49:09.529Z,7a0000150c
2021-06-14T11:50:09.521Z,a10000150d
2021-06-14T11:51:09.528Z,780000150e
2021-06-14T11:52:09.518Z,7e0000150f
2021-06-14T11:53:09.518Z,9200001510
2021-06-14T11:54:09.520Z,7700001511
2021-06-14T11:55:09.517Z,7800001512
2021-06-14T11:56:09.513Z,9d00001513
2021-06-14T11:57:09.517Z,6d00001514
2021-06-14T11:58:09.511Z,8700001515
2021-06-14T11:59:09.512Z,7500001516
2021-06-14T12:00:09.508Z,9600001517
2021-06-14T12:01:09.511Z,7300001518
2021-06-14T12:02:09.509Z,9900001519
2021-06-14T12:03:09.503Z,920000151a
2021-06-14T12:04:09.507Z,8b0000151b
2021-06-14T12:05:09.505Z,950000151c
2021-06-14T12:06:09.499Z,9e0000151d
2021-06-14T12:07:09.501Z,7c0000151e
2021-06-14T12:08:09.499Z,730000151f
2021-06-14T12:09:09.493Z,8d00001520
2021-06-14T12:10:09.496Z,9700001521
2021-06-14T12:11:09.495Z,9a00001522
2021-06-14T12:12:09.488Z,7800001523
2021-06-14T12:13:09.486Z,7b00001524
2021-06-14T12:14:09.487Z,6c00001525
2021-06-14T12:15:09.485Z,7f00001526
2021-06-14T12:16:09.481Z,7a00001527
2021-06-14T12:17:09.484Z,9600001528
2021-06-14T12:18:09.493Z,9700001529
2021-06-14T12:19:09.483Z,760000152a
2021-06-14T12:20:09.477Z,a40000152b
2021-06-14T12:21:09.472Z,890000152c
2021-06-14T12:22:09.473Z,7b0000152d
2021-06-14T12:23:09.467Z,7f0000152e
2021-06-14T12:24:09.467Z,850000152f
2021-06-14T12:25:09.538Z,8d00001530
2021-06-14T12:26:09.467Z,7600001531
2021-06-14T12:27:09.461Z,9300001532
2021-06-14T12:28:09.462Z,9f00001533
2021-06-14T12:29:09.467Z,7200001534
2021-06-14T12:30:09.460Z,8400001535
2021-06-14T12:31:09.462Z,9100001536
2021-06-14T12:32:09.455Z,7500001537
2021-06-14T12:33:09.458Z,9d00001538
2021-06-14T12:34:09.457Z,a700001539
2021-06-14T12:35:09.457Z,8b0000153a
2021-06-14T12:36:09.449Z,990000153b
2021-06-14T12:37:09.448Z,8a0000153c
2021-06-14T12:38:09.444Z,a20000153d
2021-06-14T12:39:09.443Z,a50000153e
2021-06-14T12:40:09.441Z,710000153f
2021-06-14T12:45:12.491Z,8b00001540
2021-06-14T12:46:08.694Z,7e00001541
2021-06-14T12:47:09.378Z,8800001542
2021-06-14T12:48:09.383Z,8f00001543
2021-06-14T12:49:09.383Z,7c00001544
2021-06-14T12:50:09.378Z,7600001545
2021-06-14T12:51:09.378Z,7e00001546
2021-06-14T12:52:09.369Z,8e00001547
2021-06-14T12:53:09.370Z,7000001548
2021-06-14T12:54:09.375Z,7000001549
2021-06-14T12:55:09.372Z,8a0000154a
2021-06-14T12:56:09.366Z,9f0000154b
2021-06-14T12:57:09.370Z,970000154c
2021-06-14T12:58:09.367Z,9d0000154d
2021-06-14T12:59:09.361Z,780000154e
2021-06-14T13:00:09.358Z,770000154f
2021-06-14T13:01:09.356Z,9700001550
2021-06-14T13:02:09.358Z,9b00001551
2021-06-14T13:03:09.355Z,8d00001552
2021-06-14T13:04:09.352Z,a200001553
2021-06-14T13:05:09.349Z,8c00001554
2021-06-14T13:06:09.350Z,9900001555
2021-06-14T13:07:09.347Z,7300001556
2021-06-14T13:08:09.348Z,9200001557
2021-06-14T13:09:09.348Z,7200001558
2021-06-14T13:10:09.344Z,7900001559
2021-06-14T13:11:09.345Z,940000155a
2021-06-14T13:12:09.344Z,710000155b
2021-06-14T13:13:09.337Z,750000155c
2021-06-14T13:14:09.338Z,960000155d
2021-06-14T13:15:09.332Z,820000155e
2021-06-14T13:16:09.331Z,960000155f
2021-06-14T13:17:09.329Z,a700001560
2021-06-14T13:18:09.330Z,7500001561
2021-06-14T13:19:09.330Z,a600001562
2021-06-14T13:20:09.331Z,8400001563
2021-06-14T13:21:09.328Z,8800001564
2021-06-14T13:22:09.327Z,a100001565
2021-06-14T13:23:09.320Z,9400001566
2021-06-14T13:24:09.321Z,9e00001567
2021-06-14T13:25:09.322Z,7200001568
2021-06-14T13:26:09.324Z,a600001569
2021-06-14T13:27:09.321Z,9d0000156a
2021-06-14T13:28:09.320Z,a70000156b
2021-06-14T13:29:09.313Z,980000156c
2021-06-14T13:30:09.317Z,930000156d
2021-06-14T13:31:09.309Z,720000156e
2021-06-14T13:32:09.309Z,a50000156f
2021-06-14T13:33:09.309Z,7700001570
2021-06-14T13:34:09.309Z,7500001571
2021-06-14T13:35:09.308Z,9f00001572
2021-06-14T13:36:09.299Z,8c00001573
2021-06-14T13:37:09.298Z,7d00001574
2021-06-14T13:38:09.297Z,7100001575
2021-06-14T13:39:09.298Z,6e00001576
2021-06-14T13:40:09.300Z,8400001577
2021-06-14T13:45:12.344Z,a000001578
2021-06-14T13:46:08.546Z,a300001579
2021-06-14T13:47:09.233Z,720000157a
2021-06-14T13:48:09.231Z,a30000157b
2021-06-14T13:49:09.234Z,960000157c
2021-06-14T13:50:09.224Z,9f0000157d
2021-06-14T13:51:09.227Z,a60000157e
2021-06-14T13:52:09.224Z,710000157f
2021-06-14T13:53:09.219Z,8c00001580
2021-06-14T13:54:09.224Z,6d00001581
2021-06-14T13:55:09.222Z,9500001582
2021-06-14T13:56:09.224Z,a300001583
2021-06-14T13:57:09.219Z,8a00001584
2021-06-14T13:58:09.214Z,8200001585
2021-06-14T13:59:09.212Z,8600001586
2021-06-14T14:00:09.213Z,8100001587
2021-06-14T14:01:09.212Z,9200001588
2021-06-14T14:02:09.207Z,6e00001589
2021-06-14T14:03:09.213Z,7c0000158a
2021-06-14T14:04:09.210Z,7e0000158b
2021-06-14T14:05:09.208Z,950000158c
2021-06-14T14:06:09.200Z,7c0000158d
2021-06-14T14:07:09.201Z,830000158e
2021-06-14T14:08:09.200Z,6e0000158f
2021-06-14T14:09:09.194Z,8000001590
2021-06-14T14:10:09.198Z,7500001591
2021-06-14T14:11:09.198Z,9b00001592
2021-06-14T14:12:09.189Z,9d00001593
2021-06-14T14:13:09.189Z,7300001594
2021-06-14T14:14:09.188Z,7300001595
2021-06-14T14:15:09.186Z,7c00001596
2021-06-14T14:16:09.183Z,7f00001597
2021-06-14T14:17:09.182Z,a600001598
2021-06-14T14:18:09.180Z,8c00001599
2021-06-14T14:21:09.183Z,9a0000159a
2021-06-14T14:22:09.173Z,740000159b
2021-06-14T14:23:09.173Z,860000159c
2021-06-14T14:24:09.172Z,940000159d
2021-06-14T14:25:09.175Z,700000159e
2021-06-14T14:26:09.170Z,870000159f
2021-06-14T14:27:09.169Z,a7000015a0
2021-06-14T14:28:09.169Z,9a000015a1
2021-06-14T14:29:09.166Z,86000015a2
2021-06-14T14:30:09.166Z,a4000015a3
2021-06-14T14:31:09.166Z,78000015a4
2021-06-14T14:32:09.160Z,92000015a5
2021-06-14T14:33:09.159Z,a0000015a6
2021-06-14T14:34:09.161Z,79000015a7
2021-06-14T14:35:09.162Z,a2000015a8
2021-06-14T14:36:09.157Z,87000015a9
2021-06-14T14:37:09.149Z,9d000015aa
2021-06-14T14:38:09.149Z,87000015ab
2021-06-14T14:39:09.149Z,77000015ac
2021-06-14T14:40:09.147Z,9d000015ad
2021-06-14T14:45:12.200Z,74000015ae
2021-06-14T14:46:08.402Z,72000015af
2021-06-14T14:47:09.091Z,a4000015b0
2021-06-14T14:48:09.089Z,a2000015b1
2021-06-14T14:49:09.087Z,a2000015b2
2021-06-14T14:50:09.087Z,87000015b3
2021-06-14T14:51:09.083Z,84000015b4
2021-06-14T14:52:09.081Z,8f000015b5
2021-06-14T14:53:09.080Z,98000015b6
2021-06-14T14:54:09.076Z,83000015b7
2021-06-14T14:55:09.074Z,8e000015b8
2021-06-14T14:56:09.076Z,8a000015b9
2021-06-14T14:57:09.068Z,77000015ba
2021-06-14T14:58:09.071Z,80000015bb
2021-06-14T14:59:09.069Z,6e000015bc
2021-06-14T15:00:09.070Z,99000015bd
2021-06-14T15:01:09.060Z,a5000015be
2021-06-14T15:02:09.063Z,97000015bf
2021-06-14T15:03:09.066Z,80000015c0
2021-06-14T15:04:09.059Z,76000015c1
2021-06-14T15:05:09.061Z,8c000015c2
2021-06-14T15:06:09.058Z,81000015c3
2021-06-14T15:07:09.059Z,7e000015c4
2021-06-14T15:08:09.052Z,7b000015c5
2021-06-14T15:09:09.049Z,80000015c6
2021-06-14T15:10:09.051Z,8e000015c7
2021-06-14T15:11:09.044Z,81000015c8
2021-06-14T15:13:09.047Z,a1000015c9
2021-06-14T15:14:09.045Z,76000015ca
2021-06-14T15:15:09.039Z,75000015cb
2021-06-14T15:16:09.039Z,9b000015cc
2021-06-14T15:17:09.041Z,71000015cd
2021-06-14T15:18:09.032Z,7d000015ce
2021-06-14T15:19:09.039Z,8b000015cf
2021-06-14T15:20:09.030Z,a2000015d0
2021-06-14T15:21:09.034Z,6f000015d1
2021-06-14T15:22:09.033Z,89000015d2
2021-06-14T15:23:09.025Z,a2000015d3
2021-06-14T15:24:09.027Z,82000015d4
2021-06-14T15:25:09.024Z,a7000015d5
2021-06-14T15:26:09.027Z,6e000015d6
2021-06-14T15:27:09.020Z,8c000015d7
2021-06-14T15:28:09.020Z,93000015d8
2021-06-14T15:29:09.017Z,95000015d9
